"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 1","10:47","10:51","4.600000000000023","The next question how many tennis balls can you fit into a limousine. "
"Speaker 2","10:53","11:32","39.10000000000002","Tennis balls in the limousine? I guess to effectively answer that question. I would need some help. I would need to know what type of limousine because if we're talking about a stretch SUV. That's a much larger volume than a smaller limousine. Are we talking to door for door? I also don't know what's in the limousine already other people in there or is it empty once I had those questions answered I'd have to do some calculations about the size of a tennis ball how much area or how much volume it takes up calculate the inside of the limousine and then And make sure the math works out I could get that answer to you. I just can't do it off the top of my head, right? "
"Speaker 1","11:36","11:40","4.100000000000023","Let me ask this final question are do you have any questions for us? "
"Speaker 2","11:41","11:55","14.399999999999977","Well, I mentioned a couple times about being interested in helping grow a market for REI. I'm just curious as a new employee or someone starting out on the lower level. How open is upper management hearing the ideas of an employee. "
"Speaker 1","11:56","12:49","52.200000000000045","We do try to have monthly meetings where we meet with a variety of employees at random. So these aren't things that are necessarily Scheduled regularly, they're very they're very semiannual. They're very informal. We do like to hear our employees opinions about our products, especially and about marketing. One thing that we don't necessarily do is the lower level positions that are dealing maybe with collections or you know, the intake and distribution of customer service calls. We don't necessarily talk to that group of employees. He's very often but I'd be very interested to hear your opinions on that. Should you be hired for the position and maybe ways that we could do better as well by reaching a larger group of our employees to benefit our company."
"Speaker 2","12:49","12:54","5.699999999999932","Okay. And then last question for me what from your perspective is the best part about working for REI? "
"Speaker 1","12:55","13:36","40.5","I think the work atmosphere with our company is very welcoming and even in my position and somewhat upper management those that I work for that are above me. They're very We're very good to our employees and I think because of the treatment of our employees we retain employment. It's very easy for us to get things done because people want to do their jobs. I have worked myself in positions where I worked underneath people who were more tyrannical in nature and it's very difficult to want to do more and go above and beyond what you need to do in those situations. So I believe that that's the number one benefit of working in our particular company is the atmosphere itself. "
"Speaker 2","13:36","13:38","2.5","Great. Thank you so much for your time K. I appreciate much. "
"Speaker 1","13:38","13:39","0.39999999999997726","Take care."
"Speaker 1","13:39","14:14","22.600000000000023","No your Senator Harris Tony for life to get back to normal. Dr. Anthony fauci and other experts say that most of the people who can be back stated need to be vaccinated but half of Americans now say they wouldn't take a vaccine if it was released now. If the Trump Administration approves a vaccine before or after the election should Americans take it and would you take."
"Speaker 2","14:14","14:28","13.200000000000045","It if the public health professionals if dr. fauci if the doctors tell us that we should take it. I'll be the first in line to take it. Absolutely. But if Donald Trump tells us I should say that we should take it. I'm not taking it. "
"Speaker 1","14:29","15:25","56.0","Vice president Pence there been a lot of repercussions from this pandemic in recent days. The president's diagnosis of covid-19 has underscored the importance of Job that you hold and that you were seeking that's our second topic tonight. It's the role of the vice president. One of you will make history on January 20th. We would be the vice president to the oldest president. The United States has ever had Donald Trump will be 74 years old on inauguration day. Joe Biden will be 78 years old that already has raised concerns among some voters concerns that have been sharpened by President Trump's hospitalization in recent days. Vice president Pence have you had a conversation or reached an agreement with President Trump about safeguards or procedures when it comes to the issue of presidential disability? And if not, do you think you should you have two minutes without interruption? "
"Speaker 3","15:25","17:30","125.30000000000007","Well, Susan thank you. Although I would like to go back to move on but I would like to go back because the reality is that we're going to have a vaccine senator in record time in on her. Heard of time in less than a year. We have five companies in Phase 3 clinical trials and we're right now producing tens of millions of doses. So the fact that you continue to undermine public confidence in a vaccine if the vaccine emerges during the Trump Administration I think is is unconscionable and Senator. I just asked you Stop playing politics with people's lives. The reality is that we will have a vaccine We Believe before the end of this year and it will have the capacity to say countless American lives and your continuous undermining of confidence in a vaccine is just it's just unacceptable and let me also say you know, the reality is when you talk about about failure in this Administration. We actually do know what failure looks like in a pandemic. It was 2009 the swine flu arrived in the United States. Thankfully it was ended up me not being as lethal as the coronavirus. But before the end of the year when Joe Biden was vice president of the United States not seven and a half million people contracted the swine flu 60 million Americans contract with the swine flu. If the swine flu had been as lethal as the coronavirus in 2009 when Joe Biden was vice president, we would have lost two million American lives his own Chief of Staff. Ron. Klain would say last year that it was pure luck that they did quote everything possible wrong and in we learned from that they left the Strategic National stockpile empty. They left an empty and Hollow plan, but we still learn from it and I think American people and I see again can."
"Speaker 1","17:30","17:32","1.2999999999999545","Be priced present tense. I'm sorry."
"Speaker 3","17:32","17:36","4.900000000000091","What we have done and Senator, please. Thank you very much for undermining confidence in a vaccine. "
"Speaker 1","17:37","17:58","21.300000000000182","Senator Harris. Let me ask you the same question that I asked vice president Pence which is have you had a conversation or reached an agreement with Vice President Biden about safeguards or procedures when it comes to the issue of presidential disability. And if not and if you win the election next month, do you think you should you have two minutes uninterrupted? "
"Speaker 2","17:58","20:03","124.79999999999995","Let me tell you first of all the day I got the call from from Joe Biden. It was actually Zoom call asking me to serve with him on this ticket was probably one of the most memorable memorable days of my life. I you know, I thought about my mother who came to the United States at the age of 19. I'm gave birth to me at the age of 25 at Kaiser Hospital in Oakland, California. And the thought that I'd be sitting here right now, I know would make her proud and she must be looking down on this, you know, Joe and I were raised in a very similar way. We were raised with values that are about hard work about the value and the Dignity of public service and about the importance of fighting for the Dignity of all people and I think Joe asked me to serve with him because You know, I have a career that included being elected the first woman district attorney of San Francisco where I created models of innovation for law enforcement in terms of Reform of the Criminal Justice System. I was elected the first woman of color and black woman to be elected Attorney General of the State of California where I ran the second largest Department of Justice in the United States second only to the United States Department of Justice and there I took on everything from transnational criminal organizations to The big banks that were taking advantage of homeowners to for-profit colleges that were taking advantage of veterans and then of course now I serve in the United States Senate is only the second black woman ever elected to the United States Senate I serve on the Senate intelligence committee where I've been in regular receipt of classified information about threats to our nation and hotspots around the world. I've traveled the world. I've met with our soldiers in are in war zones and I think Joe has asked me to serve with him because he knows that we share. We share a purpose which is about lifting up the American people and after the four years that we have seen of Donald Trump unifying our country around our common values and principles."
"Speaker 1","20:03","20:30","26.899999999999864","Thank you, Senator Harris. You do need that. Neither President Trump nor Vice President. Biden has released a sort of detailed health information that have become the modern Norm until the 2016 election and in recent days President Trump's doctors have given misleading answers or refuse to answer basic questions about his health and my question to each of you. In turn is is this information voters deserve to know vice president Pence. Would you like to go first? "
"Speaker 3","20:31","21:51","80.0","Well, I'm Susan. Thank you and let me let me say on behalf of the president and the first lady how move we've all been by the outpouring of prayers and concern and for the president and I do believe it's emblematic of the prayers and the concern that have ushered forth forever. American impacted by the coronavirus but the care of the president received at Walter Reed hospital White House doctors was exceptional and the transparency that they practiced all along the way we'll continue the American people have a right to know about the health and well-being of their president and will continue to do that. But I'm just extremely grateful and was more than more than a little moved by the broad and bipartisan support and sin. I want to thank you and Jill Biden for your Expressions genuine concern and I also want to congratulate you as I did on that phone call on the historic nature of your nomination. I never expected to be on the stage four years ago. So I know the feeling but the reality is we've got an election before the American people in the midst of this challenge a year and the stakes have never been higher. Basically the choice has."
"Speaker 1","21:51","22:06","14.599999999999909","Never been as they want to. Senator Harris a chance to respond to the same question I asked which is do voters have a right to know more detailed health information about presidential candidates and especially about presidents especially when they're facing some kind of challenge."
"Speaker 2","22:06","23:27","81.70000000000005","Absolutely and that's why Joe Biden has been so incredibly transparent and certainly by contrast. The president has not both in terms of health records, but also, let's look at taxes. We now know because of great investigative journalism that Not paid 750 dollars in taxes when I first heard about it. I literally said you mean 750,000 dollars and it was like no 750 dollars. We now know Donald Trump owes and is in debt for 400 million dollars in just so everyone is clear when we say in debt. It means you owe money to somebody. And it'd be really good to know who the president of the United States the commander-in-chief owes money to because the American people have a right to know what is influencing the president's decisions. And is he making those decisions on the best interest of the American people of you or self-interest? So Susan I'm glad you asked about transparency because it has to be across the board. Joe has been incredibly transparent over many many years. The one thing we all know about. Joe he puts it all out there. He he is honest he is forthright. But Donald Trump on the other hand has been about covering up everything. Thanks."
"Speaker 1","23:27","23:30","3.0","Thank you, Senator Harris. I want to give you a chance to respond vice president."
"Speaker 3","23:30","24:28","57.59999999999991","Will look I respect the fact that Joe Biden spent 47 years in public life. I respect your Public Service as well. Thank you. The American people have a president was businessman. It's a job creator. Who's paid tens of millions of dollars in taxes payroll taxes property taxes? He's created tens of thousands of American jobs. The president said those public reports are not accurate and the president's also released literally stacks of financial disclosures. The American people can review just as the law allows. But the distinction here is that Joe Biden 47 years in public service compared to President Donald Trump who brought All of that experience four years ago. Thank you very much. Thank you for trying to this economy around by cutting taxes rolling back regulations. Thank you. Thank you guys for energy fighting for free and fair trade and all of us a nice present. If Joe Biden and Kamala Harris, you."
"Speaker 1","24:28","24:30","2.2000000000000455","Know, that's a good segue into our third."
"Speaker 2","24:30","24:31","1.099999999999909","Topic which is."
"Speaker 1","24:31","25:34","62.40000000000009","About the economy. This has been another aspect of life for Americans. It's been so affected by this coronavirus. We have a jobs crisis Brewing on Friday. We learned that the unemployment rate. Rate had declined to seven point nine percent in September, but the job growth has stalled and that was before the latest round of layoffs and furloughs in the airline industry at Disney and elsewhere hundreds of thousands of discouraged workers have stopped looking for work nearly 11 million jobs that existed at the beginning of the year. Haven't been replaced those hardest hit include Latinos blacks and women Senator Harris, the Biden Harris campaign has proposed new programs to boost the economy and you would pay for that new spending by raising four trillion dollars in taxes on Wealthy individuals and corporations some economists warn that could curb entrepreneurial Ventures that fuel growth and create jobs would raising taxes, but the recovery at risk and you have two minutes to answer uninterrupted. Thank you. "
"Speaker 2","25:35","27:28","112.5","On the issue of the economy. I think there couldn't be a more fundamental difference between Donald Trump and Joe Biden. Joe Biden believes you measure the health and the strength of America's economy based on the health and the strength of the American worker and the American family. On the other hand, you have Donald Trump who measures the strength of the Economy based on how rich people are doing which is why he passed a tax bill benefiting the top 1% and the biggest corporations of America leading to a two trillion dollar deficit that the American people and I have to pay for on day one, Joe Biden will repeal that tax bill. He'll get rid of it. And what he'll do with the money is invested in the American people and through A plan that is about investing in infrastructure something that Donald Trump said he would do I remember hearing about some infrastructure week. I don't think it ever happened. The Joe Biden will do that. He'll invest in infrastructure. It's about upgrading our roads and bridges but also investing in clean energy and renewable energy Joe was going to invest that money in what we need to do around Innovation. There was a time when our country believed in science And invested in research and development so that we were in an innovation leader on the globe Joe Biden will use that money to invest in education. So for example for folks who want to go to a two-year Community College, it will be free. If you come from a family that makes less than a hundred and twenty-five thousand dollars. You'll go to a public university for free and across the board will make sure that if you have student loan debt, it's cut by $10,000. That's how Joe Biden thinks about the Which is it's about investing in the people of our country as opposed to passing a tax bill, which had the benefit of letting American corporations go offshore to do their business. "
"Speaker 1","27:29","27:47","18.299999999999955","Thank you. Dr. Harris vice-president pinch. Your Administration has been predicting a rapid and robust recovery. But the latest economic reports suggest that's not happening should Americans be braced for an economic comeback that is going to take not months but a year or more you have two minutes to answer. Interrupted. "
"Speaker 3","27:48","29:59","130.60000000000014","When President Trump and I took office America gone through the slowest economic recovery since the Great Depression when Joe Biden was vice president, they tried to tax and spend and regulate and bail our way back to a growing economy President Trump cut taxes across the board despite what Senator Harris says the average American family of four had two thousand dollars in Savings in taxes. And with the rise in wages that occurred most predominantly for blue collar. Are hardworking Americans the average household income for a family of four increased by four thousand dollars following President Trump's tax cuts. But America you just heard Senator Harris tell you on day one, Joe Biden's going to raise your taxes. It's really remarkable to things right after a time where we're going through a pandemic that lost twenty two million jobs at the height. We've already added back 11.6 million jobs because we had a president who cut taxes Road. Back regulation Unleashed American Energy fought for free and fair trade and secured four trillion dollars from the Congress of the United States give direct payments to families. Say 50 million jobs through the paycheck Protection Program. We literally have spared no expense to help the American people in the American worker through this Joe Biden and Kamala Harris want to raise taxes. They want to bury our economy under a two trillion dollar Green New Deal, which you were one of the original co-sponsors of in the United States Senate. They want to abolish fossil fuels and ban fracking which would cost hundreds of thousands of American jobs all across the Heartland and Joe Biden wants to go back to the economic surrender to China that when we took office half of our international trade deficit was with China alone. And Joe Biden wants to repeal all of the tariffs that President Trump put into effect of fight for American jobs and American workers. Joe Biden says democracies on the ballot make no mistake about it season. The American economy the American comeback is on the ballot with four more years of growth. Thank you, sir opportunity for more years of prison at Donald Trump 2021 Vegas economic year in the history of this."
"Speaker 1","29:59","30:02","2.8999999999998636","Country. Thank you very much. President Pence Senator Harris. "
"Speaker 2","30:02","30:15","13.0","Well, I mean, I think that we saw enough of it in last week's debate. But I think this is supposed to be a debate based on fact and truth and the truth and the fact is Jill Biden has been very clear. He will not raise taxes on anybody who makes less than $400,000 a year peel."
"Speaker 3","30:15","30:16","0.6000000000001364","The Trump tax. "
"Speaker 2","30:16","30:20","3.7999999999999545","Mr. Vice president speaking. I'm speaking. "
"Speaker 3","30:20","30:34","14.399999999999864","The important as you said the truth. Joe Biden's V twice in the debate last week that he's going to repeal the Trump tax cuts. That was tax cuts that gave the average working family $2,000 in a tax break every single."
"Speaker 1","30:34","30:35","0.900000000000091","Job Senator."
"Speaker 2","30:35","30:38","3.0","That is absolutely not true. That's not only."
"Speaker 3","30:38","30:41","3.0","Cutting is the only going to repeal part of the Trump tax cuts. "
"Speaker 2","30:41","32:33","111.79999999999995","If you don't mind letting me finish we can then have a conversation. Okay, please okay. Joe Biden will not raise taxes on anyone who makes less than four hundred thousand dollars a year. He has been very clear about that. Joe. Biden will not end fracking. He has been very clear about that. Joe Biden is the one who during the Great Recession was responsible. For the Recovery Act that brought America back and now the Trump hence Administration wants to take credit. When they ran when they rode the court coattails of Joe Biden success for the economy that they had at the beginning of their term. Of course. Now, the economy is of complete disaster. But Joe Biden on the one hand did that on the other hand you have Donald Trump who has reigned over ad recession that is being compared to the Great Depression on the one hand. You have Joe Biden who was responsible with President Barack Obama with the Affordable Care Act, which brought health Over 20 million Americans and protected people with pre-existing conditions and what it also did is it saved to those families who otherwise were going bankrupt because of hospital bills, they could not afford on the other hand. You have Donald Trump who's in court right now trying to get rid of thank you for trying to get rid of the Affordable Care Act, which means that you will lose protections if you have pre-existing conditions, and I just this is very important Susan. Yes, and it's a we need to give we need to give vice president just like that. He interrupted me. I'd like to just finish please. If you have a pre-existing condition heart disease diabetes breast cancer, they're coming for you if you love someone who has a pre-existing condition. Thank you. Thank you so much for you. If you are under the age of 26 on your parents coverage, they're coming for you Senator."
"Speaker 1","32:33","32:36","2.5","Harris. Thank you. You're welcome me give you a chance to respond. "
"Speaker 3","32:36","33:43","67.60000000000014","Well, I hope we have a chance to talk about health care because Obamacare was a disaster the American people remember it well. President Trump and I have a plan to improve Healthcare and for present protect pre-existing conditions for every American would look Senator Harris you're entitled to your own opinion, but you're not entitled to your own facts. You yourself said on multiple occasions when you were running for president that you would ban fracking. Joe Biden looked his supporter in the eye and pointed and said I guarantee I guarantee that we will abolish fossil fuels they have a two trillion dollar version of the green New Deal Susan that your newspaper USA Today said really wasn't that very different from the original Green New Deal more taxes more regulation Banning fracking abolishing fossil-fuel crushing American Energy and economic surrendered China is a a prescription for economic decline President Trump and I will keep America growing the v-shaped recovery that's underway right now. We'll continue with four more years of President Donald Trump."
"Speaker 1","33:43","34:21","37.69999999999982","Thank you very very much vice president hence. Once again, you've provided the perfect segue to a new topic which is climate change and vice president Pence. I'd like to pose the first question to you this year. We've seen record-setting hurricanes in the South another one hurricane. Delta is now threatening the goal and we have seen Record-setting wildfires in the west. Do you believe as the scientific Community has concluded that man-made climate change has made wildfires bigger hotter and more deadly and have made hurricanes wetter slower and more damaging. You have two minutes uninterrupted. "
"Speaker 3","34:21","36:42","141.0999999999999","Thank you, Susan. First I'm very proud of our record on the environment and on conservation according to all of the best estimates are our air and land are cleaner than any time ever recorded or water is among the cleanest in the world and just a little while ago. The president signed the outdoors actually the largest investment in our public lands and public parks in a hundred years. So President Trump has made a commitment to conservation into the environment now with regard to climate change the climate. Is changing the issue is what's the cause and what do we do about it? President? Trump has made it clear that we're going to continue to listen to the science. Now, Joe Biden and Kamala Harris would put us back in the Paris climate Accord. They impose the green New Deal which would crush American Energy would increase the energy costs of American families in their homes and literally would crush American jobs and President Trump and I believe that the progress that we have made in a cleaner environment has been happening precisely because we have a strong free market economy. You know, what's remarkable is the United States has reduced CO2 more than the countries. They're still in the Paris climate Accord, but we've done it through Innovation and we've done it through natural gas and fracking which Senator the American people can go look at the record. I know Joe Biden says, otherwise now as You do but the both of you repeatedly committed to abolishing fossil fuel and banning fracking and so by creating the kind of American innovation. We're actually steering toward a stronger and better environment with regard to wildfires President Trump and I believe that Forest management has to be front and center and even Governor Gavin Newsom from your state as agreed. We've got to work on Forest management and with regard to hurricanes the National Oceanic Administration tells us that actually Ali is different as they are there are no more hurricanes today than there were a hundred years ago. Thank you, but many of the climate alarmists use very canes and wild Flyers to try and sell the goods of a green New Deal and President Trump and I are going to always put American jobs and American workers first. "
"Speaker 1","36:43","37:08","25.09999999999991","Senator Harris as the vice president mentioned who co-sponsored the green New Deal and Congress, but Vice President Biden said in last week's debate that he does not support the green, New Deal. But if you look at the Biden Harris campaign website, it describes the green new deal as a crucial framework. What exactly would be the stance of a Biden Harris Administration toward the green New Deal. You have two minutes uninterrupted. "
"Speaker 2","37:08","39:22","133.9000000000001","Or so. First of all, I will repeat and the American people now that Joe Biden will not ban fracking that is a fact that is a fact I will repeat that Joe Biden has been very clear that he thinks about growing jobs, which is why he will not increase taxes for anyone who makes less than four hundred thousand dollars a year, Joe Biden's economic plan Moody's which is a reputable Wall Street firm has said will create seven million more jobs than Donald Trump's and part of those jobs that will be created by Joe Biden are going to be about clean energy. And renewable energy because you see Joe understands that the west coast of our country is burning including my home state of California Josie's what is happening on the Gulf States which are being battered by storms Joe has seen and talked with the farmers in Iowa whose entire crops have been destroyed because of floods and so Joe believes again in science. I'll tell you something Susan I served when I first got to the Senate on the committee. That's Responsible for the environment. Do you know this Administration took the word science off the website and then took the phrase climate change off the website this we have seen a pattern with this Administration, which is they don't believe in science and Joe's plan is about saying we're going to deal with it. But we're also going to create jobs Donald Trump when asked about the wildfires in California, and the question was, you know, the science is telling us is you know, what Donald Trump said science doesn't know. So let's talk about who is prepared to lead our country over the course of the next four years on what is an existential threat to us. As human beings Joe is about saying we're going to invest that in renewable energy with going to be about the creation of millions of jobs. We will achieve net zero emissions by 2050 carbon neutral by 2035 Joe has a plan. This has been a lot of talk from the Trump Administration and really it has been to go backward instead of forward. Third we will also re-enter the climate agreement with pride. "
"Speaker 1","39:22","39:31","8.5","Senator Harris just said that climate change is an existential threat vice president Pence. Do you believe that climate change poses an existential threat? "
"Speaker 3","39:33","40:56","82.89999999999964","I said Susan climate is changing will follow the science. But once again, Senator Harris is denying the fact that they're going to raise taxes on every American Joe Biden said twice in the debate last week and on day one. He was going to repeal the Trump tax cuts. Those tax cuts delivered two thousand dollars in tax relief to the average family of four Across America with regard to Banning for Gagging I just recommend that people look at the record. You yourself said repeatedly that you would ban fracking you were the first Senate co-sponsor of the green New Deal and while Joe Biden denied the green New Deal Susan, thank you for pointing out. The green New Deal is on their campaign website. And as USA Today said, it's essentially the same plan as you co-sponsored with AOC when she submitted an in the Senate and you just heard the senator say that she's going to resubmit America to the Paris climate Accord look, The American people have always cherished our environment will continue to cherish it. We've made great progress reducing CO2 emissions through American innovation and the development of natural gas through fracking. We don't need a massive two trillion dollar Green New Deal that would impose all new mandates on American businesses and American families. Thank you. Joe Biden wants us to retrofit."
"Speaker 1","40:56","40:57","1.0","4 million. "
"Speaker 3","40:58","41:09","11.300000000000182","Business buildings. It makes no sense. It will cost. Rob's President Trump. Thank you for America First he's going to put Jobs first and we're going to take care of our environment and follow the science."
"Speaker 2","41:09","42:37","88.0","They've been on Senator here. Let's talk about that you the vice president earlier referred to as part of what he thinks is an accomplishment. The the president's trade war with China. You lost that trade War you lost it what ended up happening is because of a so-called trade war with China. America lost 300,000 manufacturing jobs Farmers have experienced bankruptcy because of it. We are in a manufacturing recession because of it and when we look at where this Administration has been there are estimates that by the end of the term of this Administration, they will have lost more jobs than almost any other presidential Administration and the American people know what I'm talking about. You know, I think about 20 year olds. As you know, we have a 20 year-old 20-something Ural who are coming out of high school and college right now and you're wondering is there going to be a job there for me? We're looking at people who are trying to figure out how they're going to pay rent by the end of the month almost half of American renters are worried about whether they're going to be able to pay rent by the end of the month. This is where the economy is in America right now and it is because of the catastrophe and the failure of Leadership of this Administration. "
"Speaker 1","42:37","42:42","5.199999999999818","Thank you, Senator Harris vice president pants. Let me give just 15 seconds to respond because then I want to move on."
